127.0.0.1 - - [28/Feb/2016:16:43:25 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:26 +0900] "GET /NotFound/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:26 +0900] "GET /NotFound/view/index.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/script/facebookscript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/script/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/css/font-awesome.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:27 +0900] "GET /NotFound/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/view/index.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/css/font-awesome.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/script/facebookscript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/script/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:43:59 +0900] "GET /NotFound/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:44:01 +0900] "GET /NotFound/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2016:16:44:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
