127.0.0.1 - - [30/Aug/2016:10:43:29 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:31 +0900] "GET /NotFound/ HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:52 +0900] "GET /NotFound/ HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:56 +0900] "GET /NotFound/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/view/index.jsp HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/js/facebookscript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/css/landing-page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/view/img/phones.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/view/img/ipad.png HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/view/img/dog.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/img/intro-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:10:43:57 +0900] "GET /NotFound/resources/img/banner-bg.jpg HTTP/1.1" 304 -
